2017-07-31 13:48:32,074 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:49:43,032 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:50:49,395 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:53:16,900 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:54:49,224 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:55:53,302 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 13:58:07,249 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:03:57,098 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:43:29,467 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:45:36,819 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:56:13,499 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:00:36,571 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:01:56,336 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:04:47,829 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:26:46,210 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:29:50,421 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 15:30:28,607 | DEBUG | HackerNewsAPI.Controllers.BestStoriesController | Request for GetBestStories()
