2017-07-31 13:53:17,391 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStoriesAsync()
2017-07-31 13:53:17,868 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14861925)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14877342)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14866573)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14868033)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14859740)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865112)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14871127)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14863580)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14861205)
2017-07-31 13:53:18,096 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865043)
2017-07-31 13:53:18,097 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14880659)
2017-07-31 13:53:18,097 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14887414)
2017-07-31 13:53:18,161 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14876562)
2017-07-31 13:53:18,186 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14874417)
2017-07-31 13:53:18,229 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14881703)
2017-07-31 13:53:18,230 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14883776)
2017-07-31 13:53:18,243 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14869138)
2017-07-31 13:53:18,244 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14864731)
2017-07-31 13:53:18,324 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14874465)
2017-07-31 13:53:18,325 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865516)
2017-07-31 13:53:18,395 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14880716)
2017-07-31 13:53:18,400 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14856277)
2017-07-31 13:53:18,407 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14877157)
2017-07-31 13:53:18,578 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14856361)
2017-07-31 13:54:49,719 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStoriesAsync()
2017-07-31 13:54:50,109 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 13:54:50,304 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865043)
2017-07-31 13:54:50,304 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865112)
2017-07-31 13:54:50,305 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14877342)
